id	name_tech	name_iso	how	colors_iso	colors_intersection	opacity_isos	opacity_intersection	shape	region_id	date	adresses	nb_adresses	id_location	time	jump	duration	step	simplify	excluded_modes	buffer_radar	around	origine_screen	only_overlay	only_buffer	buffer_times	buffer_opacity	buffer_color	buffer_contour_size	export_no_tiles	export_with_tiles	export_anim	Image (théorie)	Lien drive	Liens
iso_type_4-location_2_2	Union_SameColor	iso_type_4	union	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.0	0.3	poly	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_4-location_2_3	Union_SameColor	iso_type_4	union	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.0	0.3	poly	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_5-location_2_1	Union_Intersected_Density_+	iso_type_5	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille"]	2	1	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_5-location_2_2	Union_Intersected_Density_+	iso_type_5	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_5-location_2_3	Union_Intersected_Density_+	iso_type_5	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_6-location_2_1	Union_Intersected_Density_-	iso_type_6	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.1	0.3	poly	fr-ne	2018-06-28	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille"]	2	1	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_6-location_2_2	Union_Intersected_Density_-	iso_type_6	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.1	0.3	poly	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_6-location_2_3	Union_Intersected_Density_-	iso_type_6	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.1	0.3	poly	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_7-location_2_1	Union_Isos_-	iso_type_7	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille"]	2	1	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_7-location_2_2	Union_Isos_-	iso_type_7	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
